State,District,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,,,,
01,002,DISTRICT,Badgam,Rural,3159,23293,12025,11268,6036,3031,3005,6971,4266,2705,16322,7759,8563,6615,4567,2048,3004,2712,292,1316,1216,100,584,541,43,82,44,38,1022,911,111,3611,1855,1756,961,310,651,1730,987,743,155,57,98,765,501,264,3014,1636,1378,645,247,398,1586,909,677,139,53,86,644,427,217,597,219,378,316,63,253,144,78,66,16,4,12,121,74,47,16678,7458,9220,,,,,
01,002,DISTRICT,Badgam,Urban,81,619,358,261,123,72,51,378,249,129,241,109,132,262,220,42,237,209,28,1,1,0,42,41,1,0,0,0,194,167,27,25,11,14,2,0,2,5,4,1,3,0,3,15,7,8,24,10,14,2,0,2,4,3,1,3,0,3,15,7,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,357,138,219,,,,,
01,003,DISTRICT,Leh(Ladakh),Total,18842,95857,47543,48314,10640,5460,5180,61201,33873,27328,34656,13670,20986,44743,24946,19797,29777,18691,11086,10764,6038,4726,462,216,246,465,172,293,18086,12265,5821,14966,6255,8711,9407,3281,6126,798,296,502,509,103,406,4252,2575,1677,13431,5545,7886,8595,2977,5618,648,238,410,445,86,359,3743,2244,1499,1535,710,825,812,304,508,150,58,92,64,17,47,509,331,178,51114,22597,28517,,,,,
01,003,DISTRICT,Leh(Ladakh),Rural,13997,73789,36318,37471,8553,4414,4139,44588,24818,19770,29201,11500,17701,36620,19826,16794,23335,14626,8709,10690,5988,4702,422,195,227,435,157,278,11788,8286,3502,13285,5200,8085,9101,3102,5999,675,228,447,499,98,401,3010,1772,1238,11903,4569,7334,8317,2807,5510,540,181,359,436,82,354,2610,1499,1111,1382,631,751,784,295,489,135,47,88,63,16,47,400,273,127,37169,16492,20677,,,,,
01,003,DISTRICT,Leh(Ladakh),Urban,4845,22068,11225,10843,2087,1046,1041,16613,9055,7558,5455,2170,3285,8123,5120,3003,6442,4065,2377,74,50,24,40,21,19,30,15,15,6298,3979,2319,1681,1055,626,306,179,127,123,68,55,10,5,5,1242,803,439,1528,976,552,278,170,108,108,57,51,9,4,5,1133,745,388,153,79,74,28,9,19,15,11,4,1,1,0,109,58,51,13945,6105,7840,,,,,
01,004,DISTRICT,Kargil,Total,16989,122336,62652,59684,18840,9529,9311,70760,42494,28266,51576,20158,31418,37760,26567,11193,16713,13359,3354,1680,958,722,491,251,240,263,200,63,14279,11950,2329,21047,13208,7839,6228,3023,3205,3043,1456,1587,904,262,642,10872,8467,2405,14040,8778,5262,3981,1860,2121,2173,1048,1125,670,171,499,7216,5699,1517,7007,4430,2577,2247,1163,1084,870,408,462,234,91,143,3656,2768,888,84576,36085,48491,,,,,
01,004,DISTRICT,Kargil,Rural,15200,110840,56693,54147,17425,8817,8608,62778,37747,25031,48062,18946,29116,34465,24236,10229,14307,11467,2840,1633,930,703,474,238,236,253,192,61,11947,10107,1840,20158,12769,7389,5869,2953,2916,3019,1440,1579,812,243,569,10458,8133,2325,13315,8482,4833,3633,1798,1835,2152,1035,1117,595,158,437,6935,5491,1444,6843,4287,2556,2236,1155,1081,867,405,462,217,85,132,3523,2642,881,76375,32457,43918,,,,,
01,004,DISTRICT,Kargil,Urban,1789,11496,5959,5537,1415,712,703,7982,4747,3235,3514,1212,2302,3295,2331,964,2406,1892,514,47,28,19,17,13,4,10,8,2,2332,1843,489,889,439,450,359,70,289,24,16,8,92,19,73,414,334,80,725,296,429,348,62,286,21,13,8,75,13,62,281,208,73,164,143,21,11,8,3,3,3,0,17,6,11,133,126,7,8201,3628,4573,,,,,
01,005,DISTRICT,Punch,Total,32919,176101,90274,85827,35448,18683,16765,84323,51653,32670,91778,38621,53157,54857,37885,16972,20892,17727,3165,9051,8034,1017,2512,2207,305,401,288,113,8928,7198,1730,33965,20158,13807,15050,9129,5921,9287,6940,2347,852,279,573,8776,3810,4966,22626,14727,7899,8961,5977,2984,7191,5816,1375,564,201,363,5910,2733,3177,11339,5431,5908,6089,3152,2937,2096,1124,972,288,78,210,2866,1077,1789,121244,52389,68855,,,,,
01,005,DISTRICT,Punch,Rural,32036,171011,87542,83469,34588,18223,16365,80942,49625,31317,90069,37917,52152,53370,36832,16538,20031,17004,3027,8934,7926,1008,2433,2146,287,380,282,98,8284,6650,1634,33339,19828,13511,14621,8924,5697,9235,6895,2340,845,276,569,8638,3733,4905,22206,14473,7733,8677,5830,2847,7147,5776,1371,558,198,360,5824,2669,3155,11133,5355,5778,5944,3094,2850,2088,1119,969,287,78,209,2814,1064,1750,117641,50710,66931,,,,,
01,005,DISTRICT,Punch,Urban,883,5090,2732,2358,860,460,400,3381,2028,1353,1709,704,1005,1487,1053,434,861,723,138,117,108,9,79,61,18,21,6,15,644,548,96,626,330,296,429,205,224,52,45,7,7,3,4,138,77,61,420,254,166,284,147,137,44,40,4,6,3,3,86,64,22,206,76,130,145,58,87,8,5,3,1,0,1,52,13,39,3603,1679,1924,,,,,
01,006,DISTRICT,Rajouri,Total,46277,232815,121374,111441,47334,25067,22267,98060,61109,36951,134755,60265,74490,107235,61407,45828,36504,30141,6363,18366,15274,3092,2684,2298,386,327,229,98,15127,12340,2787,70731,31266,39465,40240,20996,19244,5934,3803,2131,1167,278,889,23390,6189,17201,45086,20855,24231,25293,13891,11402,4442,2883,1559,831,206,625,14520,3875,10645,25645,10411,15234,14947,7105,7842,1492,920,572,336,72,264,8870,2314,6556,125580,59967,65613,,,,,
01,006,DISTRICT,Rajouri,Rural,45687,229692,119658,110034,46862,24806,22056,95838,59802,36036,133854,59856,73998,106183,60659,45524,35753,29520,6233,18316,15225,3091,2634,2253,381,322,226,96,14481,11816,2665,70430,31139,39291,40208,20973,19235,5914,3786,2128,1145,277,868,23163,6103,17060,44826,20751,24075,25268,13874,11394,4428,2871,1557,813,205,608,14317,3801,10516,25604,10388,15216,14940,7099,7841,1486,915,571,332,72,260,8846,2302,6544,123509,58999,64510,,,,,
01,006,DISTRICT,Rajouri,Urban,590,3123,1716,1407,472,261,211,2222,1307,915,901,409,492,1052,748,304,751,621,130,50,49,1,50,45,5,5,3,2,646,524,122,301,127,174,32,23,9,20,17,3,22,1,21,227,86,141,260,104,156,25,17,8,14,12,2,18,1,17,203,74,129,41,23,18,7,6,1,6,5,1,4,0,4,24,12,12,2071,968,1103,,,,,
01,007,DISTRICT,Kathua,Total,8725,53307,27693,25614,10064,5243,4821,19705,12818,6887,33602,14875,18727,19087,13411,5676,13135,10028,3107,6609,4729,1880,937,821,116,315,210,105,5274,4268,1006,5952,3383,2569,2816,1454,1362,705,500,205,203,59,144,2228,1370,858,4063,2341,1722,1948,1014,934,498,370,128,145,44,101,1472,913,559,1889,1042,847,868,440,428,207,130,77,58,15,43,756,457,299,34220,14282,19938,,,,,
01,007,DISTRICT,Kathua,Rural,8507,52019,27022,24997,9837,5140,4697,19138,12462,6676,32881,14560,18321,18740,13117,5623,12826,9768,3058,6583,4714,1869,911,797,114,313,209,104,5019,4048,971,5914,3349,2565,2816,1454,1362,699,494,205,202,59,143,2197,1342,855,4031,2311,1720,1948,1014,934,494,366,128,144,44,100,1445,887,558,1883,1038,845,868,440,428,205,128,77,58,15,43,752,455,297,33279,13905,19374,,,,,
01,007,DISTRICT,Kathua,Urban,218,1288,671,617,227,103,124,567,356,211,721,315,406,347,294,53,309,260,49,26,15,11,26,24,2,2,1,1,255,220,35,38,34,4,0,0,0,6,6,0,1,0,1,31,28,3,32,30,2,0,0,0,4,4,0,1,0,1,27,26,1,6,4,2,0,0,0,2,2,0,0,0,0,4,2,2,941,377,564,,,,,
01,008,DISTRICT,Baramula,Total,6469,37705,20237,17468,8151,4232,3919,12926,9043,3883,24779,11194,13585,10941,9514,1427,4145,3764,381,663,624,39,607,587,20,134,73,61,2741,2480,261,6796,5750,1046,838,761,77,2780,2632,148,434,282,152,2744,2075,669,5092,4218,874,624,574,50,1924,1851,73,403,272,131,2141,1521,620,1704,1532,172,214,187,27,856,781,75,31,10,21,603,554,49,26764,10723,16041,,,,,
01,008,DISTRICT,Baramula,Rural,6306,36169,19147,17022,7951,4114,3837,11825,8146,3679,24344,11001,13343,10111,8710,1401,3449,3076,373,657,618,39,607,587,20,133,73,60,2052,1798,254,6662,5634,1028,836,760,76,2718,2571,147,433,282,151,2675,2021,654,5022,4163,859,622,573,49,1905,1832,73,403,272,131,2092,1486,606,1640,1471,169,214,187,27,813,739,74,30,10,20,583,535,48,26058,10437,15621,,,,,
01,008,DISTRICT,Baramula,Urban,163,1536,1090,446,200,118,82,1101,897,204,435,193,242,830,804,26,696,688,8,6,6,0,0,0,0,1,0,1,689,682,7,134,116,18,2,1,1,62,61,1,1,0,1,69,54,15,70,55,15,2,1,1,19,19,0,0,0,0,49,35,14,64,61,3,0,0,0,43,42,1,1,0,1,20,19,1,706,286,420,,,,,
01,009,DISTRICT,Bandipore,Total,11994,75374,39398,35976,16073,8409,7664,31011,19505,11506,44363,19893,24470,24186,16432,7754,8159,6995,1164,1011,799,212,1671,1521,150,318,241,77,5159,4434,725,16027,9437,6590,2600,1294,1306,6480,4392,2088,1565,585,980,5382,3166,2216,11451,7660,3791,1901,1080,821,4940,3665,1275,1121,525,596,3489,2390,1099,4576,1777,2799,699,214,485,1540,727,813,444,60,384,1893,776,1117,51188,22966,28222,,,,,
01,009,DISTRICT,Bandipore,Rural,11870,74515,38899,35616,15977,8352,7625,30362,19090,11272,44153,19809,24344,23835,16163,7672,7889,6758,1131,1011,799,212,1670,1521,149,315,239,76,4893,4199,694,15946,9405,6541,2544,1274,1270,6469,4388,2081,1562,585,977,5371,3158,2213,11419,7639,3780,1886,1070,816,4935,3662,1273,1119,525,594,3479,2382,1097,4527,1766,2761,658,204,454,1534,726,808,443,60,383,1892,776,1116,50680,22736,27944,,,,,
01,009,DISTRICT,Bandipore,Urban,124,859,499,360,96,57,39,649,415,234,210,84,126,351,269,82,270,237,33,0,0,0,1,0,1,3,2,1,266,235,31,81,32,49,56,20,36,11,4,7,3,0,3,11,8,3,32,21,11,15,10,5,5,3,2,2,0,2,10,8,2,49,11,38,41,10,31,6,1,5,1,0,1,1,0,1,508,230,278,,,,,
01,010,DISTRICT,Srinagar,Total,1284,8935,5021,3914,1331,704,627,3483,2347,1136,5452,2674,2778,2988,2597,391,1958,1818,140,135,124,11,67,61,6,30,27,3,1726,1606,120,1030,779,251,59,39,20,86,80,6,100,21,79,785,639,146,806,621,185,44,26,18,60,58,2,49,19,30,653,518,135,224,158,66,15,13,2,26,22,4,51,2,49,132,121,11,5947,2424,3523,,,,,
01,010,DISTRICT,Srinagar,Rural,514,3104,1637,1467,589,315,274,1245,800,445,1859,837,1022,791,665,126,303,288,15,108,102,6,26,24,2,10,10,0,159,152,7,488,377,111,45,34,11,70,65,5,76,14,62,297,264,33,340,285,55,32,23,9,45,44,1,25,12,13,238,206,32,148,92,56,13,11,2,25,21,4,51,2,49,59,58,1,2313,972,1341,,,,,
01,010,DISTRICT,Srinagar,Urban,770,5831,3384,2447,742,389,353,2238,1547,691,3593,1837,1756,2197,1932,265,1655,1530,125,27,22,5,41,37,4,20,17,3,1567,1454,113,542,402,140,14,5,9,16,15,1,24,7,17,488,375,113,466,336,130,12,3,9,15,14,1,24,7,17,415,312,103,76,66,10,2,2,0,1,1,0,0,0,0,73,63,10,3634,1452,2182,,,,,
01,011,DISTRICT,Ganderbal,Total,9512,61070,32554,28516,13408,7166,6242,20771,13560,7211,40299,18994,21305,16578,13722,2856,6783,6174,609,810,669,141,1079,991,88,86,58,28,4808,4456,352,9795,7548,2247,1451,685,766,2632,2236,396,363,135,228,5349,4492,857,6419,4974,1445,929,494,435,1792,1599,193,259,86,173,3439,2795,644,3376,2574,802,522,191,331,840,637,203,104,49,55,1910,1697,213,44492,18832,25660,,,,,
01,011,DISTRICT,Ganderbal,Rural,9399,60275,32104,28171,13272,7086,6186,20539,13399,7140,39736,18705,21031,16277,13512,2765,6603,6015,588,807,666,141,1062,974,88,75,47,28,4659,4328,331,9674,7497,2177,1419,680,739,2612,2232,380,361,135,226,5282,4450,832,6366,4932,1434,929,494,435,1786,1596,190,258,86,172,3393,2756,637,3308,2565,743,490,186,304,826,636,190,103,49,54,1889,1694,195,43998,18592,25406,,,,,
01,011,DISTRICT,Ganderbal,Urban,113,795,450,345,136,80,56,232,161,71,563,289,274,301,210,91,180,159,21,3,3,0,17,17,0,11,11,0,149,128,21,121,51,70,32,5,27,20,4,16,2,0,2,67,42,25,53,42,11,0,0,0,6,3,3,1,0,1,46,39,7,68,9,59,32,5,27,14,1,13,1,0,1,21,3,18,494,240,254,,,,,
01,012,DISTRICT,Pulwama,Total,3870,22607,11837,10770,6114,3217,2897,5242,3463,1779,17365,8374,8991,6854,4954,1900,1448,1356,92,255,245,10,528,513,15,16,14,2,649,584,65,5406,3598,1808,1132,532,600,3032,2485,547,310,27,283,932,554,378,2970,2202,768,677,451,226,1539,1384,155,241,22,219,513,345,168,2436,1396,1040,455,81,374,1493,1101,392,69,5,64,419,209,210,15753,6883,8870,,,,,
01,012,DISTRICT,Pulwama,Rural,3836,22189,11528,10661,6070,3189,2881,4995,3239,1756,17194,8289,8905,6588,4712,1876,1235,1146,89,255,245,10,523,508,15,16,14,2,441,379,62,5353,3566,1787,1130,531,599,3003,2470,533,308,27,281,912,538,374,2931,2171,760,675,450,225,1523,1370,153,239,22,217,494,329,165,2422,1395,1027,455,81,374,1480,1100,380,69,5,64,418,209,209,15601,6816,8785,,,,,
01,012,DISTRICT,Pulwama,Urban,34,418,309,109,44,28,16,247,224,23,171,85,86,266,242,24,213,210,3,0,0,0,5,5,0,0,0,0,208,205,3,53,32,21,2,1,1,29,15,14,2,0,2,20,16,4,39,31,8,2,1,1,16,14,2,2,0,2,19,16,3,14,1,13,0,0,0,13,1,12,0,0,0,1,0,1,152,67,85,,,,,
01,013,DISTRICT,Shupiyan,Total,3822,21820,11311,10509,4861,2500,2361,6169,3877,2292,15651,7434,8217,6030,4765,1265,3141,2746,395,1170,1115,55,1108,1074,34,395,218,177,468,339,129,2889,2019,870,618,445,173,1128,961,167,295,57,238,848,556,292,2277,1624,653,517,415,102,837,704,133,256,40,216,667,465,202,612,395,217,101,30,71,291,257,34,39,17,22,181,91,90,15790,6546,9244,,,,,
01,013,DISTRICT,Shupiyan,Rural,3819,21798,11296,10502,4854,2496,2358,6163,3872,2291,15635,7424,8211,6022,4758,1264,3137,2742,395,1170,1115,55,1108,1074,34,395,218,177,464,335,129,2885,2016,869,617,445,172,1126,959,167,295,57,238,847,555,292,2273,1621,652,516,415,101,835,702,133,256,40,216,666,464,202,612,395,217,101,30,71,291,257,34,39,17,22,181,91,90,15776,6538,9238,,,,,
01,013,DISTRICT,Shupiyan,Urban,3,22,15,7,7,4,3,6,5,1,16,10,6,8,7,1,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,3,1,1,0,1,2,2,0,0,0,0,1,1,0,4,3,1,1,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6,,,,,
01,014,DISTRICT,Anantnag,Total,18248,116006,60990,55016,30033,16038,13995,29293,18825,10468,86713,42165,44548,38806,25438,13368,12096,11284,812,3220,2983,237,3852,3706,146,288,215,73,4736,4380,356,26710,14154,12556,8964,3305,5659,10774,8035,2739,1632,328,1304,5340,2486,2854,16911,10006,6905,5342,2263,3079,7589,5706,1883,672,197,475,3308,1840,1468,9799,4148,5651,3622,1042,2580,3185,2329,856,960,131,829,2032,646,1386,77200,35552,41648,,,,,
01,014,DISTRICT,Anantnag,Rural,17909,113575,59636,53939,29450,15697,13753,28470,18302,10168,85105,41334,43771,37927,24788,13139,11807,11022,785,3211,2977,234,3808,3669,139,274,207,67,4514,4169,345,26120,13766,12354,8691,3154,5537,10581,7872,2709,1608,310,1298,5240,2430,2810,16527,9735,6792,5145,2126,3019,7497,5632,1865,653,183,470,3232,1794,1438,9593,4031,5562,3546,1028,2518,3084,2240,844,955,127,828,2008,636,1372,75648,34848,40800,,,,,
01,014,DISTRICT,Anantnag,Urban,339,2431,1354,1077,583,341,242,823,523,300,1608,831,777,879,650,229,289,262,27,9,6,3,44,37,7,14,8,6,222,211,11,590,388,202,273,151,122,193,163,30,24,18,6,100,56,44,384,271,113,197,137,60,92,74,18,19,14,5,76,46,30,206,117,89,76,14,62,101,89,12,5,4,1,24,10,14,1552,704,848,,,,,
01,015,DISTRICT,Kulgam,Total,4670,26525,13888,12637,6470,3358,3112,5595,3538,2057,20930,10350,10580,9497,6019,3478,3643,3260,383,1105,1055,50,1307,1269,38,32,21,11,1199,915,284,5854,2759,3095,2464,883,1581,1765,1356,409,81,25,56,1544,495,1049,2816,1674,1142,731,373,358,1174,1065,109,45,18,27,866,218,648,3038,1085,1953,1733,510,1223,591,291,300,36,7,29,678,277,401,17028,7869,9159,,,,,
01,015,DISTRICT,Kulgam,Rural,4566,25802,13520,12282,6337,3295,3042,5549,3508,2041,20253,10012,10241,9440,5986,3454,3625,3244,381,1105,1055,50,1306,1268,38,32,21,11,1182,900,282,5815,2742,3073,2451,881,1570,1751,1345,406,81,25,56,1532,491,1041,2783,1660,1123,718,371,347,1164,1056,108,45,18,27,856,215,641,3032,1082,1950,1733,510,1223,587,289,298,36,7,29,676,276,400,16362,7534,8828,,,,,
01,015,DISTRICT,Kulgam,Urban,104,723,368,355,133,63,70,46,30,16,677,338,339,57,33,24,18,16,2,0,0,0,1,1,0,0,0,0,17,15,2,39,17,22,13,2,11,14,11,3,0,0,0,12,4,8,33,14,19,13,2,11,10,9,1,0,0,0,10,3,7,6,3,3,0,0,0,4,2,2,0,0,0,2,1,1,666,335,331,,,,,
01,016,DISTRICT,Doda,Total,7032,39216,20377,18839,8672,4477,4195,14171,9459,4712,25045,10918,14127,12798,8532,4266,5717,4807,910,2926,2548,378,260,221,39,21,19,2,2510,2019,491,7081,3725,3356,4344,1848,2496,1028,699,329,126,24,102,1583,1154,429,4422,2623,1799,2671,1423,1248,518,326,192,55,17,38,1178,857,321,2659,1102,1557,1673,425,1248,510,373,137,71,7,64,405,297,108,26418,11845,14573,,,,,
01,016,DISTRICT,Doda,Rural,6934,38601,20016,18585,8600,4436,4164,13712,9169,4543,24889,10847,14042,12656,8423,4233,5593,4705,888,2926,2548,378,260,221,39,21,19,2,2386,1917,469,7063,3718,3345,4338,1848,2490,1028,699,329,126,24,102,1571,1147,424,4407,2616,1791,2666,1423,1243,518,326,192,55,17,38,1168,850,318,2656,1102,1554,1672,425,1247,510,373,137,71,7,64,403,297,106,25945,11593,14352,,,,,
01,016,DISTRICT,Doda,Urban,98,615,361,254,72,41,31,459,290,169,156,71,85,142,109,33,124,102,22,0,0,0,0,0,0,0,0,0,124,102,22,18,7,11,6,0,6,0,0,0,0,0,0,12,7,5,15,7,8,5,0,5,0,0,0,0,0,0,10,7,3,3,0,3,1,0,1,0,0,0,0,0,0,2,0,2,473,252,221,,,,,
01,017,DISTRICT,Ramban,Total,8007,39772,20940,18832,8560,4456,4104,11042,7385,3657,28730,13555,15175,13196,9828,3368,6768,5785,983,3825,3554,271,472,444,28,256,44,212,2215,1743,472,6428,4043,2385,3632,2353,1279,1156,747,409,404,46,358,1236,897,339,4991,3328,1663,2877,1979,898,779,580,199,353,43,310,982,726,256,1437,715,722,755,374,381,377,167,210,51,3,48,254,171,83,26576,11112,15464,,,,,
